CSK_scafold,count,source
C1CCC(CCC2CC3CCC(C4CCCC4)CC3C2)CC1,1,RNA binders
C1CCC(C2CCC(CCC3CCC(CCC4CCC(C5CCCC5)CC4)CC3)CC2)C1,1,RNA binders
C1CCC(CCCC2CCCC3CCC(CCC4CC5CCCCC5C4)CC23)CC1,1,RNA binders
C1CCC(CC2CCCC(CC3CCCCC3)C2)CC1,1,RNA binders
C1CCC2(CC1)CCCCC2,1,RNA binders
C1CCC(CC2CCCC2CC2CC2)CC1,1,RNA binders
C1CCC(CC2CCC(C3CCC4CCCCC4C3)C2)CC1,1,RNA binders
C1CCC(C2CCC(CC3CCC(C4CCCCC4)C3)CC2)CC1,1,RNA binders
C1CCC(CC2CCC(C3CCCC3)C2CC2CCCCC2)CC1,1,RNA binders
CC(=O)/N=C(\N)NCCC[C@H](N)C(=O)O,1,RNA binders
C1CCC(CCCC2CCC(C3CCCC4CCCC43)CC2)CC1,1,RNA binders
C1CCC(C2CCC3CCCC(C4CCCC4)C32)CC1,1,RNA binders
C1CCC(CCC2CC3CCC4CCCCC4CC3C2)C1,1,RNA binders
C1CCC(C2CCCC2C2CCC3CCCCC32)CC1,1,RNA binders
C1CCC2C(C1)CCCC2CCC1CCCC1C1CCCC1,1,RNA binders
C1CCC(CCC(CC2CCCC2)C2CCCCC2)CC1,1,RNA binders
C1CCC(CC2C3CCCCC3CC3CCCC32)CC1,1,RNA binders
C1CCC(CCCCC2CCCC3CCCC23)C1,1,RNA binders
C1CCC(CCC2CCCC(CCC3CCC4CCCCC43)C2)CC1,1,RNA binders
C1CCC(CC2CC(CC3CCCC3)CC(CC3C4CCCCC4CC4CCCCC43)C2)C1,1,RNA binders
C1CCC(CC2CC3CCCC(C3)C2)CC1,1,RNA binders
C1CCC(C23CC4CC(CC(C4)C2)C3)C1,1,RNA binders
C1CCC2(CC1)CC1CCCCC1C1CCC(CC3CCCC3)CC12,1,RNA binders
C1CCC(C2CCCCC3CCCCC32)CC1,1,RNA binders
C1CCC(CC(CCCCCC2CCCC2)C2CCCCC2)CC1,1,RNA binders
C1CCC2(CC1)CCC(CCCCC1CCCC1)C2,1,RNA binders
C1CCC(CC2CCC3CCC(C4CCCCC4)CC3C2)CC1,1,RNA binders
C1CCC2C(C1)CCC2CC1CC1,1,RNA binders
C1CCCC(CC2C3CCCC3CC2C2CCCCC2)CCC1,1,RNA binders
C1CCC(C2CCC(CC3CC4CCCC4C3)C2)CC1,1,RNA binders
C1CCC(C2CCCCC2CC2CCC(CC3CCC(C4CCCC4)C4CCCCC34)CC2)CC1,1,RNA binders
C1CCC(CCCC2CCC3C(CC4CC4)CCC3C2)CC1,1,RNA binders
C1CCC(CC2CCCCC2CCC2CC3CCC2CC3)CC1,1,RNA binders
C1CCC(C2CCCC2)C1,1,RNA binders
C1CCC(CCCC2CCC(CC3CCC4CCCC4C3)C2)C1,1,RNA binders
C1CC2CCC(CCC3CCC(C4CCCC5CCCC54)CC3)CC2C1,1,RNA binders
C1CCC(C2CCC(CCC3CC4CCCCC4CC3C3CCCCC3)C2)CC1,1,RNA binders
C1CCC(C2CCC3CCC(CC4CCC4)CC3C2)CC1,1,RNA binders
C1CCC(CCC2CCC(CCCC3CCC4CCCC4C3)C2)CC1,1,RNA binders
C1CCC(CCC2CC3CC4CCCCC4C3C(C3CCCCC3)C2)CC1,1,RNA binders
C1CCC2(CC1)CCC(CCCCC1CCCC1)CC2,1,RNA binders
C1CCC(CC2CCC(CCC3CCCC3)C2)CC1,1,RNA binders
C1CCC(CCC2CCCC(C3CCC(C4CCCC4)C3)C2)CC1,1,RNA binders
C1CCC2CC3C(CCC4CC5CCCCC5CC43)CC2C1,1,RNA binders
